ID, Rinkname, Phone, Email, Website, LineOne, LineTwo, City, State, Zip, Description
653,SKATES Roller Skating Ent Center,918-241-2282,courtcollier@gmail.com,http://www.skatescenter.com,401 East Broadway Ct Unit B,,Sand Springs,OK,74063,OK030
654,Skatetime,203-459-8900,adefra3228@yahoo.com,,193 Main Street,,Monroe,CT,6468,CT044
655,Skatetown,318-387-7051,skatetown@gmail.com,,3151 Sterlington Road,,Monroe,LA,71203,LA051
656,Skatetown,262-633-1099,sk8town@aol.com,http://www.skatetownracine.com,1825 Sycamore Avenue,,Racine,WI,53406,WI021
657,Skatetown,580-233-5360,skatetownenid@sbcglobal.net,http://www.skatetownenid.com,905 Overland Trail,,Enid,OK,73703,OK047
658,Skatetown Danville Inc.,434-835-0011,mmantooth@live.com,,1049 Piny Forest Road,,Danville,VA,24540,VA035
659,Skatetown Green Valley,304-327-8175,skatetowngreenvalley@hotmail.com,http://www.skatetowngreenvalley.com,Route 5, 168 Airport Rd,Bluefield,WV,24701-9007,WV015
660,Skatetown USA,513-874-9855,ken@skatetownusa.us,http://www.skatetownusa.us,8730 North Pavilion Drive,,West Chester,OH,45069,OH191
661,Skatetown USA,772-461-0266,skatetown@earthlink.net,http://www.skatetownflorida.com,4301 Orange Avenue,,Fort Pierce,FL,34947-3420,FL095
662,Skatetown USA - Knoxville #2,865-688-1981,athenaccrawford@aol.com,,5713 North Broadway,,Knoxville,TN,37901,TN018
663,Skatetown USA - Staunton,540-885-3798,rcwheel@comcast.net,,1311 Barterbrook Road,,Staunton,VA,24401,VA027
664,Skatetown West Inc.,318-388-2405,skatetownwest@bellsouth.net,,105 Division,,West Monroe,LA,71291,LA064
665,Skatetricity,231-388-3417,skatetricity@gmail.com,http://www.myspace.com/thespotinc,2592 North Lake Mitchell Drive,,Cadillac,MI,49601,MI142
666,Skateville,952-890-0988,info@skateville.com,http://info@skateville.com,201 South Rivers Ridge Circle,,Burnsville,MN,55337,MN015
667,Skateway South LLC,256-845-2333,fortnerjerry@bellsouth.net,http://www.skatewaysouth.com,1811 Airport Rd,,Fort Payne,AL,35968,AL099
668,Skateworld,858-560-9349,sdskateworld@aol.com,,6907 Linda Vista Road,,San Diego,CA,92111,CA126
669,Skateworld,417-334-1630,brian1@skatebranson.com,http://www.skatebranson.com,West Highway 76,,Branson,MO,65616,MO051
670,Skateworld,270-821-3351,tim1439mart@yahoo.com,,4696 Hanson Rd,,Madisonville,KY,42431,KY081
671,Skateworld,615-519-5866,skateworldtn@comcast.net,http://www.skateworldtn.com,4715 Tullahoma Highway,,Winchester,TN,37398,TN085
672,Skateworld Center Inc,850-385-7465,skateworld1@embarqmail.com,http://www.skateworld1.com,2563 Capital Circle NE,,Tallahassee,FL,32308,FL215
673,Skateworld I,302-875-2121,dslatcher601@comcast.net,http://www.SkateworldOfDelaware.com,28393 Seaford Rd.,,Laurel,DE,19973,DE005
674,Skateworld of Evansville,812-476-0586,thskateworld@aol.com,,1300 Fairfield Drive,,Evansville,IN,47715,IN115
675,Skateworld of Kettering,937-294-4052,skateworldofkettering@yahoo.com,http://www.skateworldofkettering.com,1601 East David Road,,Kettering,OH,45429,OH087
676,Skateworld of Vandalia,937-890-6551,skateworldofvan@aol.com,http://www.skateworldofvandalia.com,333 South Brown School Road,,Vandalia,OH,45377,OH038
677,Skatez,,nikkiblanchard@cox.net,,1427 W Linwood Drive , Ste A,Opelousas,LA,70570,LA084
678,Skatin' Place,513-522-2424,ron@theskatinplace.com,,3211 Lina Place,,Cincinnati,OH,45239,OH065
679,Skatin' Place,320-252-8123,jonj@citescape.com,,3302 Southway Drive,,St Cloud,MN,56301,MN051
680,Skatin Station,260-925-2235,skategirl652@msn.com,http://www.skatinstation.com,544 West North Street,,Auburn,IN,46706,IN097
681,Skatin Station II,734-459-6401,lbill@bonaventureskate.com,http://www.skatinstation2.com,8611 Ronda Drive,,Canton,MI,48187,MI114
682,skating funland,,a33@apzyn.com,,981 Sky,,Fishers,IN,11111,RS002
683,Skating Plus,805-656-2121,sonny@skatingplus.com,http://www.skatingplus.com,1720 Mesa Verde,,Ventura,CA,93003,CA160
684,Skyborn Skateland,937-878-4800,david.ripp@skybornskateland.com,http://www.skybornskateland.com,5309 Haddix Road,,Fairborn,OH,45324,OH039
685,Sky-Vue Skateland,252-442-7418,watkins@jxxtech.net,,13734 US 64 Alt. West,,Rocky Mount,NC,27801,NC047
686,South Amboy Arena,732-727-1122,,,270 N Stevens Ave,,South Amboy,NJ,8879,NJ016
687,South Central Roller Palace,618-548-2808,calphilville@msn.com,,1040 North Vail Street,,Salem,IL,62881,IL073
688,Southwestern Skate Center,405-632-5484,swskate@cox.net,http://www.swskate.com,6401 South Western Avemue,,Oklahoma City,OK,73139,OK008
689,Spare Time Recreation,740-533-1223,,,2216 South Third Street,,Ironton,OH,45638,OH177
690,Sparkles,770-565-8899,,http://www.sparklesrollerrinks.com,1104 Grayson Highway 20,,Lawrenceville,GA,30245,GA072
691,Sparkles,770-943-4446,ssparkles@comcast.net,http://www.sparklesrollerrinks.com,4054 Jimmy Lee Smith Parkway,,Hiram,GA,30141,GA029
692,Sparkles,770-432-6222,,http://www.sparklesrollerrinks.com,666 Smyrna Hill Drive,,Smyrna,GA,30059,GA014
693,Sparkles of Kennesaw Inc.,770-428-3941,ssparkles@comcast.net,http://www.sparklesrollerrinks.com,1000 Mccollum Parkway,,Kennesaw,GA,30144,GA030
694,Spectrum,920-960-5410,ccohen@new.rr.com,http://www.spectrumskate.com,605 Fond Du Lac Avenue,,Fond Du Lac,WI,54935,WI058
695,Speedway Skating,,,http://www.speedwayskating.com,1779 N.Spring Garden Ave.,,DeLand,FL,32720,FL154
696,Spin City,785-238-3103,jason.haslouer@jcks.com,http://www.jcks.com,915  South Washington,,Junction City,KS,66441,KS061
697,Spin City Skate Center,865-428-1988,larrysorrell@charter.net,,2891 Parkway,,Pigeon Forge,TN,37863,TN101
698,Spin Roller Disco,,info@spinrollerdisco.ie,,Walkinstown Cross,,Dublin 12,FR,0,IR001
699,Spinners LLC,205-781-5542,philcarter@centurytel.net,,6505 E J Oliver Blvd,,Fairfield,AL,35064,AL098
700,Spinnerz Family Skate Center,,kimcorbitt@spinnerzskating.com,http://www.spinnerzskating.com,117 Hwy 113 N.,,Carrollton,GA,30117,GA122
701,Spinnin' Wheels,409-886-0447,bwomack52@att.net,,6896 N Highway 87,,Orange,TX,77630,TX047
702,Spinnin' Wheels Skate Center,641-673-4482,spinninwheels@mahaska.org,http://www.spinninwheelsofoskaloosa.com,1717 3rd Avenue East,,Oskaloosa,IA,52577,IA034
703,Spinning Wheels Arena,989-772-0069,abbey.price@gmail.com,http://www.spinningwheelsarena.com,1241 North Mission Road,,Mt Pleasant,MI,48858-0000,MI055
704,Spinning Wheels Skating,636-937-6100,glkrow@sbcglobal.net,,#2 Industrial Drive,,Festus,MO,63028,MO004
705,Sportsmans Hall Rllr Sk Ctr,410-239-3697,,,15500 Hanover Pike,,Upperco,MD,21155,MD011
706,Springfield Lake Roller Rink,330-733-9026,ckrunich@noe.rr.com,http://www.springfieldlakerollerrink.com,1220 Main Street,,Lakemore,OH,44250,OH060
707,Springfield Skate World,541-746-8424,beckygunderson@msn.com,http://http://www.spfdskateworld.com,3188 Gateway Loop,,Springfield,OR,97477,OR032
708,Springfield Skateland,417-881-8011,gary@springfieldskateland.com,http://www.springfieldskateland.com,5163 South Campbell,,Springfield,MO,65810,MO095
709,Stadium Sports Centre Inc,517-437-3541,doug@skatehillsdale.com,http://www.skatehillsdale.com,3240 Will Carleton Road,,Hillsdale,MI,49242,MI015
710,Stan's Skateland,804-493-9890,,,Route 3,,Montross,VA,22520,VA068
711,Star Castle Family Ent Ctr,912-354-5437,bob@starcastle.info,http://www.starcastle.info,550 E Mall Boulevard,,Savannah,GA,31406,GA110
712,Star City Skate Center,540-362-5195,brenda@starcityskatecenter.net,http://www.starcityskatecenter.net,140 Hershberger Road,,Roanoke,VA,24012,VA019
713,Star Skate,405-273-2030,starskate1@yahoo.com,,37303 W. 45th Street,,Shawnee,OK,74804,OK085
714,Star Skate,405-329-9818,allskate33@hotmail.com,,2020 W Lindsey,,Norman,OK,73069,OK087
715,Star Skate,580-332-3023,starskate1@yahoo.com,http://www.starskate.com,1000 E. 32nd Street,,Ada,OK,74820,OK063
716,Star Wheels Skate Center,931-433-0111,timmotorsports@bellsouth.net,,22 Ardmore Highway,,Fayetteville,TN,37334,TN068
717,Stardust Event Center,941-365-6888,ronni@stardusteventcenter.com,http://www.stardustEventCenter.com,2571 12th Street,,Sarasota,FL,34237-2907,FL128
718,Stardust Skate Center,229-435-0111,stardust2skatecenter@yahoo.com,http://www.stardust2skatecenter.net,2881 Ledo Road,,Albany,GA,31707,GA036
719,Stardust Skating Center,909-883-8317,bbbragassa@aol.com,,2167 North Lugo Avenue,,San Bernardino,CA,92404,CA076
720,Starland,301-739-9844,,,800 Park Road,,Hagerstown,MD,21740,MD016
721,Starlight Roller Rink,704-568-5700,susantfoster@yahoo.com,,8830 East Harris Boulevard,,Charlotte,NC,28227,NC055
722,Starlight Skatium,,info@starlightskatium.com,,612 N College Ave,,Fayetteville,AR,72701,AR092
723,Starlite Roller Rink,785-827-6861,krehbiels@starliteskate-salina.com,http://www.starliteskate-salina.com,2661 Market Place,,Salina,KS,67401,KS004
724,Starlite Skate Center,336-786-7676,starliteskate@embarqmail.com,,804 Fowler Road,,Mount Airy,NC,27030,NC088
725,Starlite Skating,208-522-5171,,,2150 North Woodruff,,Idaho Falls,ID,83401,ID005
726,Starlite Skating Center,770-507-0041,,http://www.starlightskatingcenter.com,3710 North Henry Boulevard,,Stockbridge,GA,30281,GA096
727,Starlite South Skate Center,913-862-2241,llong20400@aol.com,,301 SE 45th Street,,Topeka,KS,66609,KS042
728,Stephenville Roller Rink,254-968-4040,sk8208@gmail.com,,310 FM 2303 (Pigeon Rd),,Stephenville,TX,76401,TX377
729,Stoney Creek Roller Rink,540-459-7277,scrr@shentel.net,http://www.stoneycreekrollerrink.com,113 Indian Springs Rd,,Woodstock,VA,22664,VA101
730,Stoppkotte's Super Skate,618-451-7528,rockemstop@sbcglobal.net,,1823 Cleveland Boulevard,,Granite City,IL,62040,IL148
731,Stuart Recreation Center,515-523-1666,leonhartman@msn.com,,1523 South Second,,Stuart,IA,50250,IA072
732,Sumpter Roller Rink,734-945-2535,,,19750 Sumpter Rd,,Bellville,MI,48111,MI159
733,Sunbury Skate Club,740-965-3022,echo2bayou@aol.com,,345 McGill,,Sunbury,OH,43074,OH063
734,Sunrise Rollerland,916-961-3339,neutz@sunriserollerland.com,http://www.sunriserollerland.com,6001 Sunrise Vista Drive,,Citrus Heights,CA,95610,CA088
735,Sunset Rink II Inc.,570-743-6464,mary4liz@sunlink.net,http://www.sunsetrink.com,Box 216, Routes 11 & 15,Shamokin Dam,PA,17876,PA120
736,Sunshine Skate Center,205-831-8750,,,130 Elm St,,Oxford,AL,36203,AL034
737,Super Skate,319-377-3767,,,5100 Northland Drive NE,,Cedar Rapids,IA,52402,IA021
738,Super Skate,972-286-7655,,http://www.superskatedallas.com,13953 C. F.  Hawn Freeway,,Dallas,TX,75253,TX009
739,Tarry Hall Roller Rink,616-534-8235,,http://www.tarryhall.com,3330 Fairlanes Avenue,,Grandville,MI,49418,MI027
740,Tarwheels Skateway,828-298-6606,,http://www.tarwheelsskateway.com,2134 Highway 70,,Swannanoa,NC,28778,NC061
741,Terre Haute Skate World Inc,812-232-3835,thskateworld@aol.com,http://www.skateworldin.com,481 West Honey Creek Drive,,Terre Haute,IN,47802,IN092
742,Terward Inc dba Skate World Preston,,,http://www.skateworldpreston.com,,,,,,KY038
743,Texas Skateland,254-699-8852,,,205 East Cox Drive,,Harker Heights,TX,76548,TX093
744,Texas Skatium,972-240-6455,,http://www.texasskatium.com,2020 Rowlett Road,,Garland,TX,75043,TX173
745,The Castle,717-393-3126,manager@castlerollerskating.com,http://www.castlerollerskating.com,1400 Elm Avenue,,Lancaster,PA,17603,PA177
746,The Castle,845-469-2116,main@thecastlefuncenter.com,http://www.thecastlefuncenter.com,107 Brookside Ave,,Chester,NY,10918,NY193
747,The Crystal Palace Inc,901-332-3904,,,3364 South Third Street,,Memphis,TN,38109,TN059
748,The Fun Factory,,lori@gafunfactory.com,,1850 N Columbia St,,Milledgeville,GA,31061,GA125
749,The Fun Spot,518-792-8989,thefunspot@roadrunner.com,http://www.thefunspot.net,1035 Route 9,,Queensbury,NY,12804,NY054
750,The Golden Skate,925-820-2520,sharifi@thegoldenskate.com,http://www.thegoldenskate.com,2701 Hooper Drive,,San Ramon,CA,94583,CA128
751,The Great Skate,618-667-3319,gmafeld@gmail.com,http://www.thegreatskate.com,284 Riggin Road,,Troy,IL,62294,IL156
752,The Great Skate,586-777-4300,thegreatskate@yahoo.com,http://www.greatskateonline.com,29100 Hayes Boulevard,,Roseville,MI,48066,MI056
753,The Playhouse Skate and Fun Center,308-632-5996,drca@charter.net,,775 Crescent Drive,,Gering,NE,69341,NE042
754,The Rink,773-221-3290,,http://therinkchicago.com,1122 East 87th Street,,Chicago,IL,60619,IL068
755,The Rink Family Fun Center,814-827-3412,juliecauvel@therinkffc.com,http://www.therinkffc.com,45314 State Highway 27,,Titusville,PA,16354,PA026
756,The Sk8,931-372-2758,admin@the-sk8.com,http://www.the-sk8.com,1810 Foreman Drive,,Cookeville,TN,38501,TN092
757,The Skate,765-962-3823,,,475 Commerce Road,,Richmond,IN,47374,IN004
758,The Skate Center,334-821-1127,onepunchjoe@aol.com,,1221 Commerce Drive,,Auburn,AL,36830,AL060
759,The Skate Place,330-339-5828,mkosegi@adelphia.net,,1143 Front Avenue SW,,New Philadelphia,OH,44663,OH028
760,The Skate Station,601-799-1655,,,6 Fred Mallet Road,,Carriere,MS,39426,MS047
761,The Skate Zone Fun Center,330-270-4386,lm1330@hotmail.com,http://www.skatezonefun.com,5420 Mahoning Avenue,,Austintown,OH,44515,OH011
762,The Skateeum Inc,252-492-5033,bhightjr@hotmail.com,http://www.theskateeum.com,1248 Coble Boulevard,,Henderson,NC,27536,NC075
763,The SKATERY,570-758-1775,sk8coach@tds.net,http://www.skatery.com,Route 225 North,,Pillow,PA,17080,PA113
764,The Skatin Place,325-695-4713,skatinplace1@hotmail.com,http://www.skatinplaceabilene.com,1930 South Clack,,Abilene,TX,79605,TX150
765,The Skating Place LLC,731-686-1144,,,6040 Telecon Drive,,Milan,TN,38358,TN090
766,The Wheel Thing Inc.,,vkb@kc.rr.com,http://www.rollinfun.com,1719 Metropolitan,,Leavenworth,KS,66048,KS024
767,The Wheelhouse Skate Center,909-652-9968,jvj@lasercom.net,,2860 West Florida Avenue,,Hemet,CA,92545,CA214
768,The Zone,706-278-3934,,,611 Sheridan Avenue,,Dalton,GA,30721,GA115
769,The Zone Rolla's Family Entertainment Complex,573-341-5700,lucasadamsam@yahoo.com,http://www.rollaskatezone.com,555 Blue's Lake Drive,,Rolla,MO,65401,MO112
770,Thomasville Skate Center,336-472-1499,bhartsell@northstate.net,,1203 Lexington Avenue,,Thomasville,NC,27360,NC013
771,Three Fountains Skating Rink,803-957-3965,,,2742 Emmanuel Church Road,,West Columbia,SC,29169,SC038
772,Thunder Blades Roller Skating & Family Fun,612-388-2900,events@thunderblades.com,http://www.thunderblades.com,31516 125th Street,,Princeton,MN,55371,MN059
773,Thunderbird Roller Rink,972-424-4474,chase@thunderbirdskatecenter.com,http://www.thunderbirdskatecenter.com,3200 Thunderbird Lane,,Plano,TX,75075,TX057
774,Tiffany's Skate Inn,253-848-1153,dennis@tiffanysskateinn.com,http://www.tiffanysskateinn.com,1113 Meridian North,,Puyallup,WA,98371-4406,WA022
775,Tinley Park Roller Rink,312-532-3808,,http://www.tinleyparkrollerrink.net,17658 S Oak Park Avenue,,Tinley Park,IL,60477,IL015
776,Town & Country Skateworld,813-884-7688,bliz3@verizon.net,http://www.skateworldtampa.com,7510 Paula Drive,,Tampa,FL,33615,FL082
777,Turner's Skate Palace,301-992-2363,pattyleazier@hotmail.com,http://www.turnerskatepalace.com,17333 Virginia Avenue,,Hagerstown,MD,21740,MD010
778,Twilight Family Skate Center,,twilightskate@live.com,http://twilightfamilyskatecenter.com,211 E Douglas,,Clinton,MO,64735,MO129
779,Twi-Lite Roller Skating,423-581-6160,pbrewer@charter.net,,112 South Sugar Hollow Road,,Morristown,TN,37813,TN008
780,Uncle Bruce's,702-867-4386,,,125 Grand Avenue,,Fallon,NV,89406,NV019
781,Union Skate Center,864-427-4255,,,1753 Crosskeys Highway,,Union,SC,29379,SC009
782,United Skates of America,401-438-0090,unitedskatesri@aol.com,http://www.unitedskatesri.com,75 New Road,,Rumford,RI,2916,RI013
783,United Skates of America,813-966-5252,dvorakjusa@aol.com,http://www.unitedskates.com/seaford1,1276 Hicksville Road,,Seaford,NY,11783,NY120
784,United Skates of America,614-802-2440,tduska@usa-skating.com,http://www.unitedskates.com/columbus,3362 Refugee Road,,Columbus,OH,43232,OH067
785,United Skates of America,614-802-2440,adaykin@usa-skating.com,http://www.unitedskates.com/wickliffe,30325 Palisades Parkway,,Wickliffe,OH,44092,OH050
786,United Skates of America,813-876-5826,bcherry@usa-skating.com,http://www.unitedskates.com/tampa,5121 North Armenia Avenue,,Tampa,FL,33603,FL024
787,Uptown Skate,573-246-2514,mekprop@sbcglobal.net,,104 W Grand Ave,,Campbell,MO,63933,MO126
788,US On Wheels,303-423-0616,,http://www.usonwheels.com,5353 West 64th Avenue,,Arvada,CO,80003,CO018
789,USA Great Skate - Glendale,623-842-1182,ktreacy@usa-skating.com,http://www.greatskateglendale.com,10054 North 43rd Avenue,,Glendale,AZ,85302,AZ026
790,USA Skate Center,630-759-8725,sjdt@sbcglobal.net,http://www.usaskatingcenter.com,1303 Naperville Drive,,Romeoville,IL,60446,IL086
791,USA Skate Center,574-256-0921,,http://www.usaskatecenter.com,Ziggy Inc,,Mishawaka,IN,46545,IN048
792,USA Skateland - Chandler,480-917-9444,lwhitson@usa-skating.com,http://www.skatelandchandler.com,1101 West Ray Road,,Chandler,AZ,85224,AZ037
793,USA Skateland - Mesa,480-833-7775,bcampbell@usa-skating.com,http://www.skatelandmesa.com,7 East Southern Ave,,Mesa,AZ,85210,AZ013
794,USA Skating Center,937-325-4608,usaskater1968@yahoo.com,,2340 Valley Loop Road,,Springfield,OH,45504,OH027
795,USA's Skateplex,813-989-2100,,,5313 East Bush Blvd,,Temple Terrace,FL,33617,FL228
796,Valarena Roller Rink,724-478-3065,valarena@pghpa.us,http://www.valarena.com,320 18th Street,,North Apollo,PA,15673,PA187
797,Valley Skating Ctr,724-379-6700,lminer21@comcast.net,http://www.valleyskate.com,East 6th Street and Galiffa Drive,,Donora,PA,15033,PA168
798,Viking Skate Country,530-241-7500,,,737 Auditorium Drive,,Redding,CA,96001,CA107
799,Villa Roller Rink,908-689-6155,villaskating@yahoo.com,http://www.villa-roller-rink.com,2121 Route 57,,Broadway,NJ,8808,NJ049
800,W B Skate Country,504-392-9099,,http://www.skatecountrywb.com,1100 Terry Parkway,,Gretna,LA,70056,LA006
801,Wagon Wheel Roller Sktg,307-265-4214,wagonwheelsk8fun@yahoo.com,http://www.wwskate.com,305 Vanhorn Avenue,,Mills,WY,82644,WY001
802,Waterbury Skating Center Inc,203-753-4983,,http://rollermagic.com,60 Harvester Road,,Waterbury,CT,6706,CT033
803,Waukesha Skateland,262-542-1549,laufer@yahoo.com,,1931 East Main Street,,Waukesha,WI,53186,WI020
804,West Park Skate Center Inc,,msdk.elmore@gmail.com,,2988 W Park Dr,,Huntington,IN,46750,IN053
805,Western Skateland,812-332-7288,,,930 West 17th Street,,Bloomington,IN,47401,IN037
806,Wheeelers Family Ent Center,337-855-3234,ghmbskatel@yahoo.com,,1130 Highway 171,,Lake Charles,LA,70611,LA065
807,Wheels in Motion,479-474-3705,,http://www.wheelsnmotion.com,1007 Fayetteville Road,,Van Buren,AR,72956,AR033
808,Wheels R Rollin Skate Center,985-446-5566,,,256 Horseshoe Road,,Schriever,LA,70395,LA023
809,Wheels Skating Center,410-674-9661,,http://www.wheelsrsc.com,1200 Odenton Road,,Odenton,MD,21113,MD049
810,Wheelz of Fire,717-558-0533,mslaven5@yahoo.com,http://www.wheelzoffire.com,7500 Derry Street,,Harrisburg,PA,17111,PA089
811,Wheelz Skate Arena,253-460-7655,wheelzskatearena@ymail.com,http://www.wheelzskatearena.com,2101 Mildred St #D,,Fircrest,WA,98466,WA066
812,White Pines Skating Center,815-946-9988,dave@skatingfun.com,http://www.skatingfun.com,6929 West Pines Road,,Mount Morris,IL,61054,IL163
813,White Rock Skate Center,214-341-6660,whiterockskate@yahoo.com,,10055 Shoreview Road,,Dallas,TX,75238,TX060
814,Wigwam Skating Rink,812-466-4987,kosovomike@gmail.com,,4600 N. Smith Street,,Terre Haute,IN,47805,IN015
815,Wildwood Skating Corp T/A Skate World,434-525-5320,sk8t4us@aol.com,,195 Alum Springs Road,,Lynchburg,VA,24502,VA081
816,Wilkes Family Skate Center,336-667-3197,jpncskating@aol.com,,326 Elkin Road,,North Wilkesboro,NC,28659,NC122
817,Winchester Skating Center Inc,540-667-6464,,,1629 Berryville Pike,,Winchester,VA,22603,VA069
818,Winnwood Skate Center,816-452-1171,winnwoodsk8@aol.com,http://www.winnwoodsk8.com,4426 North Winn Road,,Kansas City,MO,64117,MO012
819,Wonder World Family Fun Center,334-365-6600,wonderworldjoe@knology.net,,127 N Memorial Dr,,Prattville,AL,36067,AL085
820,Wooddale Funzone,651-735-6214,wooddalegm@comcast.net,http://www.wooddalefunzone.com,2122 Wooddale Drive,,Woodbury,MN,55125,MN046
821,Woodland Rollerdome & Family Fun Center,419-394-4246,ollerdome@aol.com,,2600 Celina Road,,Saint Marys,OH,45885-1111,OH194
822,Woodland Sports Center,616-246-8023,,http://www.woodlandskating.com,2100 28th Street SE,,Grand Rapids,MI,49508,MI030
823,Wood'n Wheel,845-331-9680,,http://www.woodnwheel.com,Route 9 West,,Port Ewen,NY,12466,NY053
824,Wooster Skateland,330-262-7900,acresoffun@aol.com,http://www.woosterskateland.com,3889 Friendsville Road,,Wooster,OH,44691,OH104
825,World of Wheels Skate Center,715-392-1031,steve@wowsk8.us,http://www.wowsk8.us,1218 Oakes Avenue,,Superior,WI,54880,WI050
826,Wynne Skateland,870-238-9992,,,2013 North Falls Blvd,,Wynne,AR,72396,AR085
827,Young's Skating Center,609-625-1191,,http://www.youngsskatingcenter.com,13th Street & Park Road,,Mays Landing,NJ,8330,NJ026
828,Youngstown Skate Inc.,330-758-8711,,,7080 Tiffany Boulevard,,Youngstown,OH,44514,OH126
829,Yukon On Wheels,405-350-2215,jvontee@sbcglobal.net,,24 East Main,,Yukon,OK,73099,OK041
830,Zoomers Skate Club,740-389-5554,,http://www.zoomersskateclub.com,1683 Marion Mt Gilead Road,,Marion,OH,43302,OH117
